Year,Rnd,Pick,Tm,Player,Player Clean,Pos,Age,To,St,CarAV,DrAV,G
1995,3,68,WAS,Darryl Pounds\PounDa20,Darryl Pounds,DB,23,2000,0,8,8,78
1995,3,69,CIN,Melvin Tuten\TuteMe20,Melvin Tuten,T,23,2002,0,10,7,66
1995,3,70,DET,David Sloan\SloaDa00,David Sloan,TE,23,2003,5,17,16,110
1995,3,71,JAX,Chris Hudson\HudsCh20,Chris Hudson,DB,23,2001,4,28,18,77
1995,3,72,PHI,Greg Jefferson\JeffGr20,Greg Jefferson,DE,24,1999,3,21,21,57
1995,3,73,GNB,Brian Williams\WillBr24,Brian Williams,LB,22,2002,3,35,32,81
1995,3,74,NWE,Curtis Martin HOF\MartCu00,Curtis Martin HOF,RB,22,2005,11,101,26,168
1995,3,75,NOR,Mike Verstegen\VersMi20,Mike Verstegen,G,23,1997,1,5,5,22
1995,3,76,BUF,Marlon Kerner\KernMa20,Marlon Kerner,DB,22,1998,0,7,7,43
1995,3,77,ATL,Lorenzo Styles\StylLo20,Lorenzo Styles,LB,21,2000,0,5,2,70
1995,3,78,PHI,Chris Jones\JoneCh01,Chris Jones,WR,24,1997,1,10,10,32
1995,3,79,IND,Zack Crockett\CrocZa00,Zack Crockett,FB,22,2007,1,13,5,175
1995,3,80,ARI,Stoney Case\CaseSt00,Stoney Case,QB,23,2000,0,4,1,20
1995,3,81,KAN,Tamarick Vanover\VanoTa00,Tamarick Vanover,WR,21,2002,0,12,12,77
1995,3,82,STL,Steve McLaughlin\mclauste01,Steve McLaughlin,K,23,1995,1,-1,-1,8
1995,3,83,CHI,Sean Harris\HarrSe20,Sean Harris,LB,23,2001,3,20,20,83
1995,3,84,CLE,Eric Zeier\ZeieEr00,Eric Zeier,QB,23,2000,0,6,-2,28
1995,3,85,NYG,Rodney Young\YounRo21,Rodney Young,DB,22,1998,0,3,3,33
1995,3,86,OAK,Joe Aska\AskaJo00,Joe Aska,RB,23,1997,0,3,3,23
1995,3,87,CHI,Evan Pilgrim\PilgEv20,Evan Pilgrim,G,23,2000,0,4,3,32
1995,3,88,NWE,Jimmy Hitchcock\HitcJi20,Jimmy Hitchcock,DB,24,2002,3,31,9,101
1995,3,89,HOU,Rodney Thomas\ThomRo00,Rodney Thomas,RB,22,2001,1,17,17,103
1995,3,90,GNB,Antonio Freeman\FreeAn00,Antonio Freeman,WR,23,2003,6,64,60,132
1995,3,91,PIT,Brendan Stai\StaiBr20,Brendan Stai,G,23,2002,6,39,26,105
1995,3,92,DAL,Charlie Williams\WillCh22,Charlie Williams,DB,23,2000,0,9,9,81
1995,3,93,SDG,Don Sasa\SasaDo20,Don Sasa,DT,23,1998,0,0,0,14
1995,3,94,CLE,Mike Frederick\FredMi20,Mike Frederick,DE,23,1999,1,8,1,71
1995,3,95,HOU,Torey Hunter\HuntTo21,Torey Hunter,DB,23,1995,0,1,1,12
1995,3,96,BUF,Damien Covington\CoviDa20,Damien Covington,LB,22,1997,1,6,6,30
1995,3,97,KAN,Troy Dumas\DumaTr20,Troy Dumas,LB,23,1997,0,1,1,16
1995,3,98,SDG,Preston Harrison,Preston Harrison,LB,,,0,,,
1995,4,99,JAX,Rob Johnson\JohnRo00,Rob Johnson,QB,22,2003,1,19,2,48
1995,4,100,SDG,Chris Cowart,Chris Cowart,LB,,,0,,,
1995,4,101,HOU,Michael Roan\RoanMi00,Michael Roan,TE,23,2000,1,4,4,62
1995,4,102,CIN,Sam Shade\ShadSa20,Sam Shade,DB,22,2002,5,31,10,117
1995,4,103,WAS,Larry Jones,Larry Jones,RB,,,0,,,
1995,4,104,SDG,Aaron Hayden\HaydAa00,Aaron Hayden,RB,22,1998,0,5,4,32
1995,4,105,TAM,Jerry Wilson\WilsJe22,Jerry Wilson,DB,22,2005,2,17,,120
1995,4,106,NYJ,Melvin Hayes\HayeMe20,Melvin Hayes,T,22,1996,0,0,0,4
1995,4,107,NYJ,Tyrone Davis\DaviTy00,Tyrone Davis,TE,23,2002,1,8,0,75
1995,4,108,NOR,Dameian Jeffries\JeffDa20,Dameian Jeffries,DE,22,1995,0,0,0,2
1995,4,109,BUF,Ken Irvin\IrviKe20,Ken Irvin,DB,23,2005,3,34,27,147
