m.year,player.id,player.name,m.team_id,m.position_id,m.age,m.av_value,m.year,m.round,m.pick,m.base_salary,m.cap_hit,m.dead_cap
1994,00002493,"Bernie Parmalee",MIA,RB,27,9,1994,,,,,
1994,198913,"Eric Metcalf",CLE,RB,26,9,1994,1,13,,,
1994,199121,"Harvey Williams",OAK,RB,27,9,1994,1,21,250000,400000,0
1994,1990169,"Johnny Johnson",NYJ,RB,26,9,1994,7,169,,,
1994,1986135,"Brent Jones",SFO,TE,31,9,1994,5,135,,,
1994,1990192,"Shannon Sharpe",DEN,TE,26,9,1994,7,192,700000,810000,0
1994,198922,"Andre Rison",ATL,WR,27,9,1994,1,22,647589,1297589,0
1994,199231,"Carl Pickens",CIN,WR,24,9,1994,2,31,,,
1994,00003200,"Cris Carter",MIN,WR,29,9,1994,,,1295000,2075000,0
1994,199077,"Fred Barnett",PHI,WR,28,9,1994,3,77,,,
1994,199168,"Jake Reed",MIN,WR,27,9,1994,3,68,,,
1994,1988166,"Michael Haynes",NOR,WR,29,9,1994,7,166,,,
1994,00003203,"Rob Moore",NYJ,WR,26,9,1994,,,,,
1994,199262,"Robert Brooks",GNB,WR,24,9,1994,3,62,,,
1994,1989126,"Tony Martin",LAC,WR,29,9,1994,5,126,,,
1994,000020,"Anthony Parker",MIN,CB,28,8,1994,,,,,
1994,1988125,"Cris Dishman",TEN,CB,29,8,1994,5,125,,,
1994,1986162,"Don Griffin",CLE,CB,30,8,1994,6,162,,,
1994,198911,"Donnell Woolford",CHI,CB,28,8,1994,1,11,,,
1994,199329,"George Teague",GNB,S,23,8,1994,1,29,,,
1994,198978,"Greg Jackson",PHI,S,28,8,1994,3,78,,,
1994,1990101,"Harlon Barnett",NWE,S,27,8,1994,4,101,,,
1994,198874,"James Hasty",NYJ,CB,29,8,1994,3,74,,,
1994,1986235,"Mike Zordich",PHI,S,31,8,1994,9,235,,,
1994,1989218,"Myron Guyton",NWE,S,27,8,1994,8,218,,,
1994,1984271,"Shaun Gayle",CHI,S,32,8,1994,10,271,,,
1994,1989181,"Stevon Moore",CLE,S,27,8,1994,7,181,,,
1994,198734,"Tim McDonald",SFO,S,29,8,1994,2,34,,,
1994,198654,"Vencie Glenn",MIN,S,30,8,1994,2,54,,,
1994,199011,"Anthony Smith",OAK,DE,27,8,1994,1,11,1400000,1400000,0
1994,199265,"Bill Johnson",CLE,DT,26,8,1994,3,65,,,
1994,19947,"Bryant Young",SFO,DT,22,8,1994,1,7,,,
1994,199223,"Chris Mims",LAC,DT,24,8,1994,1,23,,,
1994,198772,"Henry Thomas",MIN,DT,29,8,1994,3,72,,,
1994,0000795,"James Harris",MIN,DE,26,8,1994,,,,,
1994,198693,"Joe Phillips",KAN,DT,31,8,1994,4,93,,,
1994,0000796,"John Jurkovic",GNB,DT,27,8,1994,,,,,
1994,199299,"Keith Hamilton",NYG,DT,23,8,1994,4,99,,,
1994,199212,"Marco Coleman",MIA,DE,25,8,1994,1,12,,,
1994,199051,"Mike Fox",NYG,DT,27,8,1994,2,51,,,
1994,199132,"Mike Jones",NWE,DT,25,8,1994,2,32,,,
1994,1991146,"Nolan Harrison",OAK,DE,25,8,1994,6,146,,,
1994,198151,"Rickey Jackson",SFO,DE,36,8,1994,2,51,,,
1994,19911,"Russell Maryland",DAL,DT,25,8,1994,1,1,950000,1720000,0
1994,198554,"Simon Fletcher",DEN,DE,32,8,1994,2,54,,,
1994,199420,"Tim Bowens",MIA,DT,21,8,1994,1,20,,,
1994,198887,"Tim Goad",NWE,DT,28,8,1994,4,87,,,
1994,199018,"Tony Bennett",IND,LB,27,8,1994,1,18,2200000,2950000,0
1994,1992105,"Tony McCoy",IND,DT,25,8,1994,4,105,,,
1994,0000786,"Tony Siragusa",IND,DT,27,8,1994,,,,,
1994,198912,"Trace Armstrong",CHI,DE,29,8,1994,1,12,,,
1994,198522,"William Perry",PHI,DT,32,8,1994,1,22,,,
1994,199046,"Andre Collins",WAS,OLB,26,8,1994,2,46,,,
1994,198880,"Bill Romanowski",PHI,OLB,28,8,1994,3,80,,,
1994,199165,"Carlos Jenkins",MIN,OLB,26,8,1994,3,65,,,
1994,1992125,"Ed McDaniel",MIN,OLB,25,8,1994,5,125,,,
1994,00001269,"Gary Plummer",SFO,OLB,34,8,1994,,,,,
1994,00001246,"Jessie Tuggle",ATL,ILB,29,8,1994,,,,,
1994,1988210,"Joe Cain",CHI,OLB,29,8,1994,8,210,,,
1994,198841,"Ken Norton",SFO,OLB,28,8,1994,2,41,,,
1994,199224,"Robert Jones",DAL,OLB,25,8,1994,1,24,,,
1994,00001270,"Rod Stephens",SEA,ILB,28,8,1994,,,,,
1994,199131,"Roman Phifer",LAR,OLB,26,8,1994,2,31,,,
1994,199359,"Steve Tovar",CIN,ILB,24,8,1994,3,59,,,
1994,198411,"Wilber Marshall",ARI,OLB,32,8,1994,1,11,,,
1994,1991104,"William Thomas",PHI,OLB,26,8,1994,4,104,,,
1994,199414,"Bernard Williams",PHI,T,22,8,1994,1,14,,,
1994,198964,"Bob Kratch",NWE,G,28,8,1994,3,64,,,
1994,19928,"Bob Whitfield",ATL,T,23,8,1994,1,8,,,
1994,1988264,"Brian Habib",DEN,G,30,8,1994,10,264,,,
1994,1990320,"Chris Port",NOR,G,27,8,1994,12,320,,,
1994,198937,"Courtney Hall",LAC,C,26,8,1994,2,37,,,
1994,198334,"Dave Lutz",DET,T,35,8,1994,2,34,,,
1994,1990180,"Dave Szott",KAN,G,27,8,1994,7,180,,,
1994,198894,"Dave Widell",DEN,C,29,8,1994,4,94,,,
1994,1987121,"David Alexander",PHI,C,30,8,1994,5,121,,,
1994,00001804,"Derek Kennard",DAL,G,32,8,1994,,,,,
1994,198941,"Doug Widell",DET,G,28,8,1994,2,41,,,
1994,1992244,"Jay Leeuwenburg",CHI,G,25,8,1994,9,244,,,
1994,1985111,"Jeff Dellenbach",MIA,G,31,8,1994,4,111,,,
1994,198965,"Jerry Fontenot",CHI,C,28,8,1994,3,65,,,
1994,19866,"Jim Dombrowski",NOR,G,31,8,1994,1,6,,,
1994,1990185,"Joe Staysniak",IND,G,28,8,1994,7,185,,,
1994,1990113,"Jon Melander",DEN,G,28,8,1994,5,113,,,
1994,198534,"Kevin Glover",DET,C,31,8,1994,2,34,,,
1994,1987206,"Kevin Gogan",OAK,G,30,8,1994,8,206,,,
1994,198559,"Kirk Lowdermilk",IND,C,31,8,1994,3,59,,,
1994,199319,"Lester Holmes",PHI,G,25,8,1994,1,19,,,
1994,198967,"Mike Zandofsky",ATL,G,29,8,1994,3,67,,,
1994,199111,"Pat Harlow",NWE,T,25,8,1994,1,11,1400000,1650000,0
1994,1990203,"Roman Fortin",ATL,C,27,8,1994,8,203,,,
1994,1984112,"Ron Heller",MIA,T,32,8,1994,4,112,,,
1994,1990226,"Shawn Bouwens",DET,G,26,8,1994,9,226,,,
1994,199040,"Tim Grunhard",KAN,C,26,8,1994,2,40,,,
1994,199374,"Will Shields",KAN,G,23,8,1994,3,74,,,
1994,198620,"Will Wolford",IND,T,30,8,1994,1,20,,,
1994,199298,"Roy Barker",MIN,DE,25,8,1994,4,98,,,
1994,198438,"Boomer Esiason",NYJ,QB,33,8,1994,2,38,,,
1994,00002414,"Dave Krieg",DET,QB,36,8,1994,,,,,
1994,199070,"Neil O'Donnell",PIT,QB,28,8,1994,3,70,,,
1994,19871,"Vinny Testaverde",CLE,QB,31,8,1994,1,1,,,
1994,198824,"Craig Heyward",ATL,RB,28,8,1994,1,24,,,
1994,1985114,"Herschel Walker",PHI,RB,32,8,1994,5,114,,,
1994,199310,"Jerome Bettis",LAR,RB,22,8,1994,1,10,442000,843750,0
1994,199030,"Reggie Cobb",GNB,RB,26,8,1994,2,30,,,
1994,199024,"Rodney Hampton",NYG,RB,25,8,1994,1,24,1875000,2275000,0
1994,199430,"Darnay Scott",CIN,WR,22,8,1994,2,30,,,
1994,199429,"Derrick Alexander",CLE,WR,23,8,1994,1,29,,,
1994,198846,"Flipper Anderson",LAR,WR,29,8,1994,2,46,,,
1994,1989100,"Michael Timpson",NWE,WR,27,8,1994,4,100,,,
1994,198618,"Mike Sherrard",NYG,WR,31,8,1994,1,18,,,
1994,198860,"Quinn Early",NOR,WR,29,8,1994,3,60,,,
1994,199316,"Sean Dawkins",IND,WR,23,8,1994,1,16,,,
1994,199356,"Vincent Brisby",NWE,WR,23,8,1994,2,56,,,
1994,19949,"Antonio Langham",CLE,CB,22,7,1994,1,9,,,
1994,1988272,"Brian Washington",NYJ,S,29,7,1994,10,272,,,
1994,1989134,"Darren Carrington",LAC,S,28,7,1994,5,134,,,
1994,199228,"Darryl Williams",CIN,S,24,7,1994,1,28,,,
1994,199138,"Darryll Lewis",TEN,CB,26,7,1994,2,38,,,
1994,1993141,"Doug Evans",GNB,CB,24,7,1994,6,141,,,
1994,00009,"Eugene Robinson",SEA,S,31,7,1994,,,,,
1994,1988137,"James Washington",DAL,S,29,7,1994,5,137,,,
1994,199048,"LeRoy Butler",GNB,S,26,7,1994,2,48,,,
1994,000035,"Lorenzo Lynch",ARI,S,31,7,1994,,,,,
1994,1991102,"Marcus Robertson",TEN,S,25,7,1994,4,102,,,
1994,19906,"Mark Carrier",CHI,S,26,7,1994,1,6,550000,850000,0
1994,1992272,"Mark McMillian",PHI,CB,24,7,1994,10,272,,,
1994,1992139,"Matt Darby",BUF,S,26,7,1994,5,139,,,
1994,198895,"Michael Brim",CIN,CB,28,7,1994,4,95,,,
1994,1990199,"Mickey Washington",BUF,CB,26,7,1994,8,199,,,
1994,199034,"Robert Blackmon",SEA,S,27,7,1994,2,34,,,
1994,19919,"Stanley Richard",LAC,S,27,7,1994,1,9,649000,649000,0
1994,198920,"Steve Atwater",DEN,S,28,7,1994,1,20,,,
1994,199118,"Alfred Williams",CIN,DE,26,7,1994,1,18,,,
1994,0000807,"Bernard Wilson",2TM,DT,24,7,1994,,,,,
1994,1992264,"Brad Culpepper",TAM,DT,25,7,1994,10,264,,,
1994,0000808,"Chuck Klingbeil",MIA,DT,29,7,1994,,,,,
1994,0000809,"Darren Mickell",KAN,DT,24,7,1994,,,,,
1994,199047,"Dennis Brown",SFO,DE,27,7,1994,2,47,,,
