name,year,player_id,college,position,height,weight,hand_size,arm_length,wonderlic,dash,bench,vert_leap,broad_jump,shuttle,cone,long_shuttle
"Isaiah Ford",2017,5318,"Virginia Tech",WR,73,194,9.25,32.63,0,4.61,14,35.5,127.0,0.0,6.94,0.0
"Rudy Ford",2017,6860,Auburn,S,71,205,8.88,30.0,0,0.0,20,0.0,0.0,4.21,0.0,11.22
"D'Onta Foreman",2017,5319,Texas,RB,72,233,10.13,31.38,0,0.0,18,0.0,0.0,4.28,0.0,0.0
"Reuben Foster",2017,5481,Alabama,LB,72,229,10.25,32.38,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Leonard Fournette",2017,5320,LSU,RB,72,240,9.25,31.63,0,4.51,0,28.5,0.0,0.0,0.0,0.0
"Kyle Fuller",2017,6861,Baylor,CB,72,190,9.38,32.88,0,4.49,12,38.5,128.0,0.0,6.9,0.0
"Wayne Gallman",2017,5322,Clemson,RB,72,215,9.13,32.63,0,4.6,21,29.5,120.0,4.13,7.17,11.92
"Antonio Garcia",2017,5482,Troy,OT,78,302,9.88,33.38,0,5.15,24,31.0,108.0,0.0,7.98,0.0
"Myles Garrett",2017,5483,"Texas A&M",DE,76,272,10.25,35.25,0,4.64,33,41.0,128.0,4.2,0.0,11.43
"Ben Gedeon",2017,5484,Michigan,ILB,74,244,10.0,32.63,0,4.75,27,34.5,119.0,4.39,6.98,11.84
"Avery Gennesy",2017,5323,"Texas A&M",OT,75,318,9.5,33.63,0,5.35,24,20.0,91.0,4.9,8.08,0.0
"Nate Gerry",2017,6862,Nebraska,S,74,218,9.25,31.25,0,4.58,17,30.5,122.0,0.0,0.0,0.0
"Shelton Gibson",2017,5324,"West Virginia",WR,71,191,8.88,32.0,0,4.5,8,32.0,118.0,4.35,6.83,11.79
"Ryan Glasgow",2017,5325,Michigan,DT,75,302,9.63,33.38,0,5.13,20,27.5,105.0,4.62,7.55,0.0
"Davon Godchaux",2017,6863,LSU,DT,75,310,10.25,32.38,0,5.27,18,0.0,0.0,4.43,0.0,0.0
"Kenny Golladay",2017,5328,"Northern Illinois",WR,76,218,9.75,32.0,0,4.5,18,35.5,120.0,0.0,7.0,0.0
"Zane Gonzalez",2017,6864,"Arizona State",K,72,202,9.0,29.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Evan Goodman",2017,6865,"Arizona State",OG,76,306,0.0,0.0,0,0.0,0,0.0,0.0,4.81,0.0,0.0
"Shaquill Griffin",2017,5485,"Central Florida",DB,72,194,8.75,32.38,0,4.38,17,38.5,132.0,0.0,6.87,0.0
"Nate Hairston",2017,5486,Temple,CB,72,196,9.5,31.0,0,4.52,14,35.5,118.0,4.45,0.0,0.0
"Daeshon Hall",2017,5487,"Texas A&M",DE,77,266,9.63,35.0,0,4.76,18,36.0,123.0,4.63,7.03,0.0
"Chad Hansen",2017,5329,California,WR,74,202,10.13,32.13,0,4.53,11,35.0,119.0,4.01,6.74,11.17
"Sean Harlow",2017,5330,"Oregon St.",OG,76,303,9.5,32.0,0,5.15,26,30.5,105.0,0.0,8.16,0.0
"Charles Harris",2017,5488,Missouri,DE,75,253,9.63,32.38,0,4.82,21,32.0,109.0,4.56,7.47,0.0
"Connor Harris",2017,5489,Lindenwood,ILB,71,242,9.38,30.13,0,4.73,18,33.0,114.0,4.18,7.13,0.0
"Josh Harvey-Clemons",2017,6866,Louisville,S,76,217,10.38,35.38,0,0.0,12,31.5,121.0,0.0,0.0,0.0
"Keon Hatcher",2017,5331,Arkansas,WR,73,212,9.5,32.0,0,4.64,16,0.0,0.0,4.28,0.0,0.0
"Carlos Henderson",2017,5332,"Louisiana Tech",WR,71,199,9.13,31.38,0,4.46,13,36.0,131.0,0.0,7.18,0.0
"DeAngelo Henderson",2017,5333,"Coastal Carolina",RB,67,208,9.5,29.0,0,4.48,20,34.0,120.0,0.0,0.0,0.0
"Trey Hendrickson",2017,5490,"Florida Atlantic",DE,76,266,9.88,32.0,0,4.65,0,33.5,122.0,4.4,7.03,12.43
"Jordan Herdman",2017,6867,"Simon Fraser",LB,71,238,8.13,29.88,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Cole Hikutini",2017,5491,Louisville,TE,76,247,10.0,32.75,0,0.0,20,0.0,0.0,4.34,0.0,0.0
"Brian Hill",2017,5335,Wyoming,RB,73,219,8.88,31.38,0,4.54,15,34.0,125.0,0.0,7.03,0.0
"Delano Hill",2017,5492,Michigan,SS,73,216,9.38,32.13,0,4.47,17,33.5,115.0,4.21,6.96,0.0
"Bucky Hodges",2017,5493,"Virginia Tech",TE,78,257,10.13,32.5,0,4.57,18,39.0,134.0,4.16,0.0,11.46
"Krishawn Hogan",2017,6868,"Marian (IN)",WR,75,222,9.88,32.13,0,4.56,13,36.5,124.0,0.0,6.74,0.0
"Colin Holba",2017,5336,Louisville,LS,76,248,9.63,33.63,0,5.19,0,28.0,115.0,0.0,0.0,0.0
"Mack Hollins",2017,5337,"North Carolina",WR,76,221,9.75,33.25,0,4.53,0,0.0,0.0,0.0,0.0,0.0
"Elijah Hood",2017,5338,"North Carolina",RB,71,232,9.38,30.38,0,0.0,18,0.0,0.0,4.34,0.0,0.0
"Malik Hooker",2017,5495,"Ohio St.",S,73,206,10.75,32.25,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Bug Howard",2017,5339,"North Carolina",WR,76,221,10.38,33.13,0,4.58,0,37.5,119.0,4.15,6.95,0.0
"O.J. Howard",2017,5496,Alabama,TE,78,251,10.0,33.75,0,4.51,22,30.0,121.0,4.38,6.85,12.38
"Marlon Humphrey",2017,5497,Alabama,CB,72,197,8.75,32.25,0,4.41,10,0.0,125.0,4.28,6.75,0.0
"Hayden Hunt",2017,5498,"Colorado St.",P,72,212,9.25,29.88,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Kareem Hunt",2017,5340,Toledo,RB,70,216,9.63,31.38,0,4.62,18,36.5,119.0,0.0,0.0,0.0
"Danny Isidora",2017,5341,Miami,OG,75,306,9.88,33.0,0,5.03,26,29.0,94.0,5.38,8.13,0.0
"Adoree Jackson",2017,5499,USC,CB,70,186,9.25,31.38,0,4.42,0,36.0,122.0,0.0,0.0,0.0
"Eddie Jackson",2017,6869,Alabama,S,72,201,9.25,32.25,0,0.0,10,0.0,0.0,4.2,0.0,11.5
"Blake Jarwin",2017,6870,"Oklahoma St.",TE,77,248,0.0,0.0,0,0.0,0,0.0,0.0,4.33,0.0,12.06
"Lorenzo Jerome",2017,6871,"St. Francis (PA)",S,70,204,8.63,30.63,0,4.7,11,0.0,0.0,4.18,7.63,11.57
"Dorian Johnson",2017,5342,Pittsburgh,OG,77,300,10.88,35.25,0,5.27,21,30.0,114.0,4.58,8.39,0.0
"Jadar Johnson",2017,6872,Clemson,S,72,206,9.25,32.0,0,4.6,19,33.0,119.0,4.18,6.9,0.0
"Jaleel Johnson",2017,5343,Iowa,DT,75,316,9.63,33.25,0,5.38,19,28.0,100.0,4.75,7.64,0.0
"John Johnson",2017,6873,"Boston College",S,72,208,9.88,32.0,0,4.61,14,37.0,119.0,0.0,6.72,0.0
"Roderick Johnson",2017,5502,"Florida St.",OT,79,298,10.75,36.0,0,0.0,0,0.0,0.0,5.17,0.0,0.0
"Cameron Johnston",2017,5503,"Ohio St.",P,71,194,9.0,31.0,0,4.92,0,0.0,0.0,0.0,0.0,0.0
"Aaron Jones",2017,5344,"Texas-El Paso",RB,69,208,9.5,32.5,0,4.56,16,37.5,127.0,4.28,6.82,0.0
"D.J. Jones",2017,5345,Mississippi,DT,73,319,10.25,32.5,0,5.04,25,28.5,108.0,4.66,7.73,0.0
"Jarron Jones",2017,5346,"Notre Dame",DT,78,316,10.5,35.5,0,5.33,22,20.5,0.0,4.53,0.0,0.0
"Josh Jones",2017,6874,"N.C. State",S,73,220,9.38,32.0,0,4.41,20,37.5,132.0,4.27,0.0,0.0
"Nazair Jones",2017,5347,"North Carolina",DT,77,304,10.88,34.63,0,5.11,0,24.5,101.0,0.0,7.93,0.0
"Sidney Jones",2017,5504,Washington,CB,72,186,9.38,31.5,0,4.47,0,33.5,123.0,0.0,7.02,0.0
"Zay Jones",2017,5348,"East Carolina",WR,74,201,9.0,32.5,0,4.45,15,36.5,133.0,4.08,6.79,0.0
"Brad Kaaya",2017,5349,Miami,QB,76,214,9.75,32.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Kyle Kalis",2017,6875,Michigan,OG,76,308,10.25,32.88,0,0.0,0,0.0,0.0,4.62,0.0,0.0
"Alvin Kamara",2017,5350,Tennessee,RB,70,214,9.25,32.75,0,4.56,15,39.5,131.0,4.56,0.0,11.78
"Damontae Kazee",2017,5505,"San Diego St.",CB,70,184,8.63,30.88,0,4.54,11,34.0,124.0,0.0,0.0,0.0
"Chad Kelly",2017,6876,Mississippi,QB,74,224,0.0,0.0,0,0.0,0,0.0,0.0,4.08,0.0,0.0
"Desmond King",2017,5507,Iowa,S,70,201,9.63,31.13,0,0.0,14,34.0,117.0,4.49,6.67,12.06
"Kevin King",2017,5508,Washington,CB,75,200,9.5,32.0,0,4.43,11,39.5,0.0,4.34,6.56,0.0
"George Kittle",2017,5509,Iowa,TE,76,247,9.25,33.13,0,4.52,18,35.0,132.0,4.59,0.0,12.41
"DeShone Kizer",2017,5351,"Notre Dame",QB,76,233,9.88,33.13,0,4.83,0,30.5,107.0,0.0,7.4,0.0
"Tanoh Kpassagnon",2017,5510,Villanova,DE,79,289,10.63,35.63,0,4.83,23,30.0,128.0,4.69,7.46,0.0
"Cooper Kupp",2017,5353,"Eastern Washington",WR,74,204,9.5,31.5,0,4.62,0,31.0,116.0,4.12,6.75,0.0
"Forrest Lamp",2017,5354,"Western Kentucky",OG,76,309,10.63,32.25,0,5.0,34,27.5,111.0,4.56,7.55,0.0
"Ashton Lampkin",2017,5511,"Oklahoma St.",CB,72,189,9.38,31.0,0,4.52,19,34.5,120.0,4.21,0.0,11.19
"Jerome Lane",2017,5355,Akron,WR,74,226,9.75,31.5,0,4.6,16,35.0,125.0,4.71,6.87,0.0
"Harvey Langi",2017,5512,BYU,DE,74,251,9.13,32.88,0,0.0,23,33.0,118.0,0.0,7.0,0.0
"Brendan Langley",2017,6877,Lamar,CB,72,201,9.5,32.0,0,4.43,22,35.5,123.0,0.0,7.06,0.0
"Marshon Lattimore",2017,5513,"Ohio St.",CB,72,193,8.88,31.25,0,4.36,0,38.5,132.0,4.12,0.0,11.45
"Carl Lawson",2017,5514,Auburn,DE,74,261,10.38,31.5,0,4.67,35,33.0,114.0,4.62,7.46,0.0
"Javarius Leamon",2017,5515,"South Carolina St.",OL,79,332,9.63,35.25,0,0.0,22,23.5,0.0,0.0,0.0,0.0
"Jeremiah Ledbetter",2017,5356,Arkansas,DE,75,280,10.0,34.25,0,4.84,29,32.5,113.0,4.47,7.55,12.14
"Cameron Lee",2017,5357,"Illinois St.",OG,77,312,10.88,33.88,0,5.44,18,25.5,100.0,4.6,8.02,0.0
"Elijah Lee",2017,6878,"Kansas St.",LB,75,228,0.0,0.0,0,0.0,0,0.0,0.0,4.3,0.0,0.0
"Marquel Lee",2017,5516,"Wake Forest",LB,75,240,9.5,32.5,0,0.0,25,31.0,118.0,0.0,0.0,0.0
"Jordan Leggett",2017,5517,Clemson,TE,77,258,10.38,33.5,0,0.0,18,33.0,114.0,4.45,7.12,12.34
"Mitch Leidner",2017,5358,Minnesota,QB,75,226,10.0,33.75,0,4.93,0,34.5,123.0,4.45,6.96,0.0
"Corey Levin",2017,5359,Tennessee-Chattanooga,OL,76,307,10.88,33.5,0,5.16,26,26.5,106.0,0.0,7.55,0.0
"Jourdan Lewis",2017,5518,Michigan,CB,70,188,9.25,31.63,0,4.54,15,34.5,121.0,0.0,0.0,0.0
"William Likely",2017,5519,Maryland,FS,67,180,9.5,29.0,0,0.0,15,0.0,0.0,0.0,0.0,0.0
"Sefo Liufau",2017,5360,Colorado,QB,75,232,10.75,33.5,0,5.08,0,27.0,105.0,4.23,7.32,0.0
"T.J. Logan",2017,5361,"North Carolina",RB,69,196,9.0,32.0,0,4.37,17,33.5,121.0,4.43,0.0,12.0
"Shalom Luani",2017,6879,"Washington St.",S,71,202,9.75,32.0,0,4.55,12,31.0,116.0,4.34,6.87,0.0
"Keevan Lucas",2017,5362,Tulsa,WR,69,192,9.88,31.88,0,4.55,11,32.5,119.0,4.14,7.23,0.0
"Marlon Mack",2017,5363,"South Florida",RB,71,213,9.0,32.0,0,4.5,15,35.5,125.0,4.22,0.0,11.03
"Erik Magnuson",2017,6880,Michigan,OG,78,305,0.0,0.0,0,0.0,0,0.0,0.0,4.94,0.0,0.0
"Patrick Mahomes",2017,5364,"Texas Tech",QB,74,225,9.25,33.25,0,4.8,0,30.0,114.0,4.31,6.88,0.0
"Josh Malone",2017,5365,Tennessee,WR,75,208,9.63,31.38,0,4.4,10,30.5,121.0,4.13,7.05,11.32
"Damien Mama",2017,5366,USC,OG,75,334,11.0,35.0,0,5.84,0,24.5,96.0,4.9,8.51,0.0
"Gabe Marks",2017,5367,"Washington St.",WR,71,189,8.75,30.38,0,4.56,11,29.5,117.0,0.0,7.01,0.0
"JoJo Mathis",2017,6881,Washington,OLB,74,266,9.0,33.0,0,0.0,24,0.0,0.0,0.0,0.0,0.0
"Art Maulet",2017,6882,Memphis,DB,70,189,9.63,31.25,0,4.62,18,34.5,120.0,4.22,0.0,0.0
"Marcus Maye",2017,5522,Florida,S,72,210,9.13,32.5,0,0.0,0,0.0,0.0,4.12,0.0,11.19
"Christian McCaffrey",2017,5368,Stanford,RB,71,202,9.0,30.0,0,4.48,10,37.5,121.0,4.37,6.57,11.71
"Conor McDermott",2017,5523,UCLA,OT,80,307,11.0,34.75,0,5.18,0,28.5,105.0,0.0,7.52,0.0
"Malik McDowell",2017,5369,"Michigan St.",DT,78,295,10.5,34.75,0,4.85,23,28.5,112.0,0.0,7.69,0.0
"Elijah McGuire",2017,5370,Louisiana-Lafayette,RB,70,214,9.0,31.0,0,4.53,15,36.0,120.0,0.0,7.26,0.0
"Takkarist McKinley",2017,5524,UCLA,DE,74,250,9.75,34.75,0,4.59,24,33.0,122.0,4.32,7.48,11.83
"Raekwon McMillan",2017,5525,"Ohio St.",LB,74,240,9.75,33.0,0,4.61,23,33.0,121.0,0.0,7.15,0.0
"Jeremy McNichols",2017,5372,"Boise St.",RB,69,214,10.0,31.5,0,4.49,0,35.5,121.0,0.0,6.93,0.0
"Obi Melifonwu",2017,6883,Connecticut,S,76,224,9.13,32.5,0,4.4,17,44.0,141.0,0.0,0.0,0.0
"Matt Milano",2017,5526,"Boston College",OLB,72,223,9.38,32.0,0,4.67,24,35.0,126.0,4.38,0.0,0.0
"Fabian Moreau",2017,5527,UCLA,CB,72,206,9.0,31.38,0,4.35,0,38.0,136.0,0.0,6.94,0.0
"Drew Morgan",2017,5373,Arkansas,WR,72,190,9.5,30.38,0,4.74,10,30.0,112.0,4.19,6.85,11.31
"Jordan Morgan",2017,5374,"Kutztown (PA)",OG,75,309,10.0,34.63,0,5.36,21,27.0,102.0,4.25,8.13,11.71
"Avery Moss",2017,5528,"Youngstown St.",DE,75,264,10.38,34.5,0,4.79,14,32.5,114.0,4.62,7.25,0.0
"Taylor Moton",2017,5529,"Western Michigan",OG,77,319,10.63,34.13,0,5.18,23,30.5,109.0,0.0,7.73,0.0
"Al-Quadin Muhammad",2017,5530,Miami,DE,75,253,9.38,33.25,0,4.88,22,30.5,117.0,4.37,7.25,0.0
"Levon Myers",2017,6884,"Northern Illinois",OT,77,309,0.0,0.0,0,0.0,0,0.0,0.0,5.06,0.0,0.0
"Jalen Myrick",2017,5531,Minnesota,CB,70,200,8.75,31.63,0,4.28,13,37.5,124.0,4.34,7.06,11.84
