name,seasonal_av,year,player_id,college,position,height,weight,hand_size,arm_length,wonderlic,dash,bench,vert_leap,broad_jump,shuttle,cone,long_shuttle
Ben Claxton,0,2003,1010,Mississippi,C,75,301,0,0,0,5.16,0,27,102,4.69,7.81,0
Chris Clemons,4.818181818,2003,1169,Georgia,OLB,75,236,0,0,0,4.68,18,35,116,7.27,7.48,0
Avon Cobourne,0,2003,1009,West Virginia,RB,68,205,0,0,0,4.7,21,31.5,112,4.18,7.21,0
Colin Cole,3.2,2003,1008,Iowa,DT,74,309,0,0,0,5.22,29,31,103,4.75,7.85,0
Torrie Cox,1,2003,1168,Pittsburgh,CB,69,181,0,0,0,4.55,0,32,119,4.2,6.98,0
Angelo Crowell,4,2003,1167,Virginia,ILB,73,236,0,0,0,4.73,25,32.5,0,4.29,7.08,0
Dan Curley,0,2003,1166,Eastern Washington,TE,76,254,0,0,0,4.63,17,35.5,118,4.53,7.47,0
Kevin Curtis,3.5,2003,1007,Utah State,WR,71,186,0,0,0,4.42,0,36,122,3.99,6.76,0
Anthony Davis,2.6,2003,1005,Virginia Tech,OG,77,329,0,0,0,5.34,0,27.5,95,4.98,8.26,0
Chris Davis,0,2003,1004,Syracuse,FB,73,235,9.25,31,0,4.56,21,38.5,116,4.37,7.25,0
Sammy Davis,2.6,2003,1165,Texas A&M,CB,73,186,0,0,0,4.42,19,40,131,0,7.01,0
Enoch DeMar,3,2003,1002,Indiana,OG,76,334,0,0,0,5.63,22,22.5,90,5.1,8.35,0
Dahrran Diedrick,0,2003,999,Nebraska,RB,73,228,0,0,0,4.62,19,37,117,4.44,7.32,0
David Diehl,7.818181818,2003,998,Illinois,OG,78,310,0,0,0,5.26,22,28,96,4.97,8.1,0
Derrick Dockery,5.3,2003,997,Texas,OG,78,347,0,0,0,5.58,0,25,92,0,0,0
LaTarence Dunbar,0,2003,995,Texas Christian,WR,71,196,0,0,0,4.52,0,34,122,4.35,7.41,0
Nick Eason,2.111111111,2003,994,Clemson,DT,75,301,0,0,0,5.17,29,0,102,0,0,0
Justin Fargas,2.857142857,2003,991,Southern California,RB,73,219,0,0,0,4.35,27,0,137,0,0,0
Drayton Florence,4.272727273,2003,1160,Tuskegee,CB,73,198,0,0,0,4.39,18,35,124,0,0,0
Anthony Floyd,1,2003,1159,Louisville,FS,70,202,0,0,0,4.6,19,33.5,117,4.2,7.09,0
George Foster,5.666666667,2003,1158,Georgia,OT,78,338,0,0,0,5.23,0,27,100,0,0,0
Aubrayo Franklin,4.363636364,2003,990,Tennessee,DT,74,307,0,0,0,5.2,0,27,100,4.79,0,0
Makoa Freitas,4,2003,989,Arizona,OG,76,307,0,0,0,5.05,36,24.5,95,4.92,8.24,0
Doug Gabriel,3.75,2003,988,Central Florida,WR,74,213,0,0,0,4.52,0,35.5,116,4.16,7.05,0
Talman Gardner,0,2003,986,Florida State,WR,73,205,0,0,0,4.44,0,34.5,116,4.43,7.54,0
Kevin Garrett,0.666666667,2003,1156,Southern Methodist,CB,70,194,0,0,0,4.32,0,35,129,3.96,6.9,0
Tony Gilbert,1.2,2003,1155,Georgia,ILB,73,251,0,0,0,4.86,19,27.5,109,0,0,0
Jason Goss,0,2003,1153,Texas Christian,CB,70,183,0,0,0,4.58,15,32.5,117,4.31,7.46,0
Earnest Graham,2.5,2003,985,Florida,RB,69,225,0,0,0,4.5,22,0,0,0,0,0
Brandon Green,1.333333333,2003,1151,Rice,DE,75,267,0,0,0,4.78,19,32,105,4.32,7.23,0
Jamaal Green,0.5,2003,1150,Miami,DE,74,272,0,0,0,4.78,27,35.5,119,0,0,0
Quentin Griffin,3,2003,983,Oklahoma,RB,67,195,0,0,0,4.48,21,38,123,4.08,0,0
Justin Griffith,1.857142857,2003,984,Mississippi State,FB,71,232,0,0,0,4.59,29,32,113,4.68,7.73,0
DeJuan Groce,2.5,2003,1149,Nebraska,CB,70,192,0,0,0,4.49,18,36,118,4,6.82,0
Jordan Gross,8.181818182,2003,1147,Utah,OT,77,300,0,0,0,5.05,28,31.5,112,4.39,7.69,0
Rex Grossman,2.5,2003,982,Florida,QB,71,217,0,0,29,5.06,0,0,0,0,0,0
Mario Haggan,2.3,2003,1146,Mississippi State,ILB,75,252,0,0,0,4.88,21,33,110,4.46,7.55,0
Ken Hamlin,5.625,2003,1145,Arkansas,FS,75,209,0,0,0,4.61,16,33,117,3.92,6.8,0
Omari Hand,0,2003,1144,Tennessee,DE,76,267,0,0,0,4.85,34,0,0,0,0,0
Kwame Harris,4.166666667,2003,1143,Stanford,OT,79,310,0,0,0,5.2,0,35.5,107,4.65,7.98,0
Gerald Hayes,4.571428571,2003,1142,Pittsburgh,ILB,73,238,0,0,0,4.75,0,30.5,107,4.35,7.57,0
Michael Haynes,2.666666667,2003,1141,Penn State,DE,76,281,0,0,0,4.87,23,30.5,109,0,0,0
E.J. Henderson,6,2003,1140,Maryland,ILB,73,245,0,0,0,4.8,20,0,0,0,0,0
Dwone Hicks,0,2003,981,Middle Tennessee St,RB,70,222,0,0,0,4.6,29,34,115,4.42,7.38,0
Victor Hobson,4.666666667,2003,1138,Michigan,ILB,73,252,0,0,0,4.86,29,33,117,4.33,7.26,0
Montrae Holland,4.125,2003,980,Florida State,OG,74,333,0,0,0,5.3,30,0,0,5.13,8.46,0
Terrence Holt,3,2003,1137,North Carolina State,FS,74,208,0,0,0,4.63,13,34.5,122,4.03,6.99,0
Keenan Howry,0,2003,979,Oregon,WR,70,178,0,0,0,4.56,0,31.5,114,4.28,7.34,0
Wayne Hunter,1.5,2003,1136,Hawaii,OT,78,303,0,0,0,5.08,37,31,104,4.57,7.72,0
Alonzo Jackson,0.666666667,2003,1135,Florida State,DE,76,266,0,0,0,4.86,14,37,114,4.5,7.69,0
Bradie James,6.6,2003,1134,Louisiana State,ILB,75,242,0,0,0,4.71,0,32.5,113,4.54,7.53,0
Andre Johnson,8.928571429,2003,976,Miami,WR,74,230,0,0,0,4.4,0,39,132,0,0,0
Bethel Johnson,2,2003,975,Texas A&M,WR,71,201,0,0,0,4.38,0,38.5,127,0,0,0
Jarret Johnson,5.666666667,2003,973,Alabama,DT,75,284,0,0,0,5.07,21,28.5,107,4.58,7.72,0
Jeremi Johnson,0.666666667,2003,972,Indiana,FB,71,260,0,0,0,4.9,20,29,103,0,0,0
Larry Johnson,6.222222222,2003,971,Penn State,RB,73,228,0,0,0,4.55,19,0,0,0,0,0
Robert Johnson,0,2003,1132,Auburn,TE,78,278,0,0,0,4.96,18,33.5,115,4.47,7.15,0
Teyo Johnson,0.666666667,2003,970,Stanford,WR,78,247,0,0,0,4.61,0,33.5,0,0,0,0
Todd Johnson,2.333333333,2003,1131,Florida,FS,73,206,0,0,0,4.56,19,33.5,117,4.19,7.01,0
Bennie Joppru,0,2003,1130,Michigan,TE,76,272,0,0,0,4.78,19,30.5,109,0,0,0
William Joseph,2,2003,969,Miami,DT,77,308,0,0,0,4.95,29,0,0,0,0,0
Cato June,1,2003,6042,Michigan,SS,73,218,0,0,0,4.61,0,35,113,0,0,0
Chris Kelsay,5.7,2003,1129,Nebraska,DE,77,273,0,0,0,4.75,23,36.5,121,0,0,0
Terrence Kiel,3,2003,6043,Texas A&M,SS,71,204,0,0,0,4.46,16,38,127,3.96,6.88,0
Austin King,1,2003,967,Northwestern,C,76,299,0,0,0,5.42,20,28,106,4.73,7.99,0
Kenny King,1,2003,1128,Alabama,DE,75,281,0,0,0,4.95,25,35,114,4.37,7.5,0
Kliff Kingsbury,0,2003,966,Texas Tech,QB,76,213,0,0,31,4.77,0,30,101,4.1,6.92,0
Dan Klecko,0.666666667,2003,965,Temple,DT,73,283,0,0,0,4.94,26,33.5,111,4.43,7.52,0
Scott Kooistra,0.857142857,2003,1127,North Carolina State,OT,78,316,0,0,0,5.14,28,31,103,4.62,7.95,0
Dan Koppen,8.9,2003,964,Boston College,C,76,297,0,0,0,5.43,27,28.5,101,4.56,8.26,0
Tron LaFavor,0,2003,963,Florida,DT,74,290,0,0,0,5.08,26,28,106,0,0,0
Donald Lee,2.111111111,2003,1126,Mississippi State,TE,75,249,0,0,0,4.82,26,39,120,4.42,7.42,0
James Lee,1,2003,962,Oregon State,DT,77,327,0,0,0,4.98,23,30,106,4.69,7.78,0
Byron Leftwich,4,2003,961,Marshall,QB,78,241,0,0,25,5.1,0,0,0,0,0,0
Matt Leonard,0,2003,960,Stanford,DT,75,305,0,0,0,4.97,30,26,95,4.56,7.53,0
Brandon Lloyd,4.363636364,2003,959,Illinois,WR,73,184,0,0,0,4.62,0,36,0,0,0,0
Rien Long,1.666666667,2003,958,Washington State,DT,78,302,0,0,0,5.08,0,0,105,0,0,0
Tom Lopienski,0,2003,957,Notre Dame,FB,73,246,0,0,0,4.75,24,34,111,4.24,7.53,0
Jeremy Loyd,0.5,2003,1124,Iowa State,OLB,74,235,0,0,0,4.64,17,34,114,4.15,6.9,0
Nick Maddox,0,2003,954,Florida State,RB,71,211,0,0,0,4.65,18,33.5,115,4.5,7.33,0
Adrian Madise,0,2003,953,Texas Christian,WR,73,215,0,0,0,4.49,0,32,119,4.26,7.32,0
Sean Mahan,4,2003,952,Notre Dame,OG,75,301,0,0,0,5.14,30,30,105,4.77,7.75,0
Reno Mahe,0.6,2003,951,BYU,WR,69,198,0,0,0,4.68,0,32,109,4.23,7.27,0
Ricky Manning,4,2003,1123,UCLA,CB,69,185,0,0,0,4.52,12,36.5,117,4.17,7.11,0
Vince Manuwai,7.375,2003,950,Hawaii,OG,74,304,0,0,0,5.06,27,29.5,107,4.4,7.59,0
Terrance Martin,0.5,2003,949,North Carolina State,DT,75,299,0,0,0,5.15,30,0,0,0,0,0
Rashean Mathis,6.384615385,2003,1122,Bethune-Cookman,FS,73,202,0,0,0,4.45,22,38.5,123,4.17,7.09,0
Sultan McCullough,0,2003,948,Southern California,RB,73,202,0,0,0,4.49,27,0,0,0,0,0
Jerome McDougle,0.75,2003,1120,Miami,DE,74,264,0,0,0,4.67,0,34,117,4.58,7.28,0
Terrence McGee,5.4,2003,1119,Northwestern State (LA),CB,70,201,0,0,0,4.57,15,37,126,4.09,6.88,0
Hanik Milligan,1.5,2003,1117,Houston,FS,75,201,0,0,0,4.52,9,36.5,130,4.18,7.11,0
Kawika Mitchell,5.125,2003,1116,South Florida,ILB,73,253,0,0,0,4.69,25,37,117,4.24,7.32,0
Langston Moore,1.6,2003,943,South Carolina,DT,73,303,0,0,0,5.04,29,32,104,4.29,7.64,0
Kindal Moorehead,2.5,2003,1114,Alabama,DE,75,285,0,0,0,5,22,32,104,4.57,7.71,0
Gene Mruczkowski,0.75,2003,941,Purdue,C,75,297,0,0,0,5.19,28,0,0,0,0,0
Ovie Mughelli,0.666666667,2003,940,Wake Forest,FB,73,255,0,0,0,4.73,0,31.5,114,4.32,7.78,0
Mike Nattiel,2,2003,6046,Florida,OLB,73,228,0,0,0,4.65,0,30,106,4.39,7.49,0
Spencer Nead,0,2003,1113,BYU,TE,77,259,0,0,0,4.86,19,28.5,102,4.34,7.37,0
Bruce Nelson,1,2003,939,Iowa,C,77,301,0,0,0,5.26,21,0,0,0,0,0
Terence Newman,6.857142857,2003,1112,Kansas State,CB,71,189,0,0,0,4.37,10,41,136,3.83,6.88,0
Donnie Nickey,1.125,2003,1111,Ohio State,FS,74,220,0,0,0,4.65,17,33.5,119,4.16,7.08,0
Joe Odom,2,2003,1109,Purdue,OLB,73,241,0,0,0,4.6,26,0,0,0,0,0
Kassim Osgood,0.666666667,2003,937,San Diego State,WR,77,208,0,0,0,4.68,0,31,122,4.44,7.19,0
Calvin Pace,7,2003,1108,Wake Forest,DE,76,269,0,0,0,4.79,0,33,115,0,0,0
Derek Pagel,0.5,2003,1107,Iowa,FS,73,208,0,0,0,4.57,25,35.5,115,4.08,6.87,0
Carson Palmer,10.53846154,2003,936,Southern California,QB,77,232,0,0,26,4.65,0,0,0,0,0,0
Tony Pashos,4.555555556,2003,1105,Illinois,OT,78,337,0,0,0,5.3,38,0,0,0,0,0
Antwan Peek,2.6,2003,1104,Cincinnati,OLB,75,246,0,0,0,4.65,21,37,125,4.35,7.07,0
Terry Pierce,0.5,2003,1101,Kansas State,ILB,74,251,0,0,0,4.7,28,27.5,0,0,0,0
Shurron Pierson,0.5,2003,1102,South Florida,DE,74,243,0,0,0,4.63,0,39,128,0,0,0
Willie Pile,1.5,2003,1100,Virginia Tech,FS,74,206,0,0,0,4.57,14,38,125,4.21,6.77,0
Andrew Pinnock,0.2,2003,935,South Carolina,FB,70,265,0,0,0,4.62,22,0,0,0,0,0
Dave Ragone,1,2003,933,Louisville,QB,76,249,0,0,31,4.99,0,30.5,101,4.36,7.42,0
Cory Redding,5.461538462,2003,1097,Texas,DE,76,279,0,0,0,4.88,24,0,0,0,0,0
Gabe Reid,0,2003,1096,BYU,TE,76,255,0,0,0,4.82,23,37,119,4.32,7.49,0
Terrell Roberts,1,2003,1095,Oregon State,CB,69,203,0,0,0,4.63,18,34,117,4.26,7.12,0
Terrence Robinson,1,2003,1094,Oklahoma State,ILB,73,240,0,0,0,4.95,19,33.5,116,4.36,7.62,0
Brett Romberg,1.8,2003,929,Miami,C,74,295,0,0,0,5.2,27,27.5,99,4.65,8.16,0
Tony Romo,8.923076923,2003,928,Eastern Illinois,QB,74,230,0,0,30,5.01,0,30,105,4.2,7.11,0
Asante Samuel,7.818181818,2003,1093,Central Florida,CB,71,185,0,0,0,4.49,9,35.5,120,4.14,6.95,0
Lauvale Sape,0.5,2003,927,Utah,DT,74,297,0,0,0,5.21,0,31.5,111,4.72,7.73,0
Gerome Sapp,1,2003,6047,Notre Dame,SS,73,216,0,0,0,4.64,0,36.5,112,4.3,7.13,0
Steve Sciullo,6,2003,1091,Marshall,OT,77,330,0,0,0,5.48,23,28,98,4.72,7.85,0
Bryan Scott,3,2003,6048,Penn State,SS,73,219,0,0,0,4.6,13,0,0,0,0,0
Ian Scott,3.833333333,2003,925,Florida,DT,75,312,0,0,0,5.16,28,28.5,99,5,8.12,0
Mike Seidman,0.25,2003,1090,UCLA,TE,77,261,0,0,0,4.8,20,0,0,0,0,0
Scott Shanle,5,2003,1089,Nebraska,OLB,74,245,0,0,0,4.72,20,31,111,4.32,7.27,0
Visanthe Shiancoe,2.272727273,2003,1088,Morgan State (MD),TE,77,251,0,0,0,4.65,28,39.5,120,4.31,7.09,0
Chris Simms,1.6,2003,924,Texas,QB,77,220,0,0,22,4.84,0,31,103,4.21,7.38,0
L.J. Smith,3.285714286,2003,1086,Rutgers,TE,75,258,0,0,0,4.62,26,37,122,4.25,6.74,0
Musa Smith,1.2,2003,923,Georgia,RB,73,232,0,0,0,4.45,0,35.5,123,0,0,0
Onterrio Smith,7,2003,922,Oregon,RB,70,220,0,0,0,4.48,19,0,0,0,0,0
Trent Smith,0,2003,1085,Oklahoma,TE,77,243,0,0,0,4.79,16,35.5,118,4.37,7.23,0
Wade Smith,4.454545455,2003,1084,Memphis,OT,76,296,0,0,0,5.14,24,32.5,114,4.75,7.62,0
Ben Sobieski,0,2003,921,Iowa,OG,77,307,0,0,0,5,18,30,109,4.49,7.7,0
Eric Steinbach,7.125,2003,920,Iowa,OG,78,297,0,0,0,4.96,0,36,119,4.42,7.36,0
Jon Stinchcomb,7,2003,1083,Georgia,OT,77,302,0,0,0,4.99,32,35,115,4.62,7.83,0
Donald Strickland,1.555555556,2003,1082,Colorado,CB,70,187,0,0,0,4.53,16,35.5,121,4.04,6.98,0
Johnathan Sullivan,3.333333333,2003,918,Georgia,DT,75,313,0,0,0,5.1,0,0,0,0,0,0
Scott Tercero,2,2003,917,California,OG,76,303,0,0,0,5.23,25,28.5,103,4.51,7.81,0
Chaun Thompson,2.714285714,2003,1079,West Texas A&M,OLB,74,240,0,0,0,4.58,29,35.5,123,4.22,7.01,0
Charles Tillman,6.538461538,2003,1078,Louisiana-Lafayette,CB,73,207,0,0,0,4.49,12,40,131,3.89,7.05,0
Pisa Tinoisamoa,5,2003,1077,Hawaii,OLB,73,231,0,0,0,4.65,19,34.5,111,4.07,6.97,0
LaBrandon Toefield,1,2003,916,Louisiana State,RB,71,233,0,0,0,4.6,19,0,0,0,0,0
Marcus Trufant,6,2003,1076,Washington State,CB,71,199,0,0,0,4.38,11,39,127,4.32,6.87,0
B.J. Tucker,0,2003,1075,Wisconsin,CB,71,188,0,0,0,4.34,16,35,123,4.2,7.25,0
Torrin Tucker,4.333333333,2003,915,Southern Mississippi,OG,78,328,0,0,0,5.35,0,30,103,4.97,8.39,0
Demetrin Veal,1,2003,1074,Tennessee,DE,74,288,0,0,0,5.24,26,0,111,0,0,0
Bobby Wade,3.571428571,2003,914,Arizona,WR,70,193,0,0,0,4.66,0,34.5,115,4.11,7.01,0
Aaron Walker,0.75,2003,1073,Florida,TE,78,252,0,0,0,4.72,24,33.5,115,4.3,7.57,0
Seneca Wallace,2,2003,913,Iowa State,QB,73,196,0,0,12,4.56,0,38,127,4.14,6.98,0
Matt Walters,1,2003,1072,Miami,DE,77,272,0,0,0,4.9,30,0,0,0,0,0
Shane Walton,0,2003,1071,Notre Dame,CB,71,184,0,0,0,4.67,11,31,109,4.29,7.05,0
Kevin Ware,0,2003,1069,Washington,TE,75,256,0,0,0,4.79,22,34,110,4.47,7.52,0
Ty Warren,5.555555556,2003,912,Texas A&M,DT,77,307,0,0,0,5.1,27,0,0,0,0,0
Dennis Weathersby,0,2003,1068,Oregon State,CB,73,204,0,0,0,4.38,9,38,125,4.13,7.14,0
Reggie Wells,4.6,2003,1067,Clarion,OT,75,300,0,0,0,5.16,23,29,104,4.56,8.35,0
DeWayne White,3.714285714,2003,1066,Louisville,DE,74,273,0,0,0,4.76,22,33,112,4.32,7.22,0
Keyon Whiteside,0,2003,1065,Tennessee,ILB,73,229,0,0,0,4.8,27,29,111,4.34,7.32,0
Taylor Whitley,2,2003,910,Texas A&M,OG,76,321,0,0,0,5.18,28,30,106,4.58,7.95,0
Jimmy Wilkerson,2.25,2003,1063,Oklahoma,DE,75,271,0,0,0,4.91,29,34.5,114,4.4,7.45,0
Andrew Williams,0.5,2003,1062,Miami,DE,74,263,0,0,0,4.7,29,32,113,4.47,7.53,0
Brett Williams,0,2003,1061,Florida State,OT,77,321,0,0,0,5.25,0,27.5,99,5.01,8.57,0
Kevin Williams,9.615384615,2003,1060,Oklahoma State,DE,77,304,0,0,0,4.81,23,30,112,5.04,7.66,0
Todd Williams,0.5,2003,1059,Florida State,OT,77,340,0,0,0,5.08,27,32.5,108,4.54,8.06,0
Eugene Wilson,4.375,2003,1058,Illinois,CB,71,192,0,0,0,4.48,15,38,122,4.05,7.18,0
Jason Witten,7.714285714,2003,1057,Tennessee,TE,78,264,0,0,0,4.65,25,31,0,0,0,0
Andre Woolfolk,1.5,2003,1056,Oklahoma,CB,74,197,0,0,0,4.47,10,35.5,128,3.96,6.78,0
George Wrighster,1.5,2003,1055,Oregon,TE,74,249,0,0,0,4.89,16,34.5,115,0,7.24,0
Walter Young,0,2003,909,Illinois,WR,77,214,0,0,0,4.54,0,39,121,4.25,6.9,0
Roc Alexander,0.666666667,2004,1508,Washington,CB,71,185,0,0,0,4.35,0,39.5,125,4.23,6.97,0
Rich Alexis,0,2004,1329,Washington,RB,73,210,0,0,0,4.64,0,32,114,4.49,7.42,0
Jared Allen,10.41666667,2004,1507,Idaho State,DE,78,265,0,0,0,4.72,13,33,120,4.34,7.11,0
Courtney Anderson,1.25,2004,1505,San Jose State,TE,78,269,0,0,0,4.89,17,30,106,4.54,7.86,0
Shawn Andrews,6.666666667,2004,1504,Arkansas,OT,76,366,0,0,0,5.49,27,25,98,4.93,8.26,0
Stacy Andrews,3.25,2004,1503,Mississippi,OT,78,342,0,0,0,5.07,34,30.5,106,4.81,8.11,0
Matthias Askew,0,2004,1327,Michigan State,DT,78,308,0,0,0,5.2,20,27,101,4.42,7.55,0
Jason Babin,4.416666667,2004,1502,Western Michigan,DE,75,260,0,0,0,4.62,28,34,121,4.14,7.03,0
Rashad Baker,0.8,2004,1501,Tennessee,FS,71,204,0,0,0,4.5,21,36,117,4.15,7.21,0
Dave Ball,2,2004,1500,UCLA,DE,78,277,0,0,0,5.07,24,0,0,0,0,0
Jacob Bell,5,2004,1326,Miami (OH),OG,77,302,0,0,0,5.22,26,0,0,0,0,0
Tatum Bell,4.6,2004,1325,Oklahoma State,RB,71,212,0,0,0,4.37,25,38.5,117,0,0,0
Bernard Berrian,4.5,2004,1324,Fresno State,WR,73,183,0,0,0,4.58,0,38,128,4.21,7.34,0
Ryon Bingham,1.5,2004,1323,Nebraska,DT,76,303,0,0,0,5.09,33,30,109,4.38,7.44,0
Colby Bockwoldt,3,2004,1499,BYU,OLB,74,230,0,0,0,4.6,14,34,112,4.07,7.12,0
Ryan Boschetti,0.6,2004,1322,UCLA,DT,77,306,0,0,0,5.06,0,29.5,110,4.27,7.41,0
Michael Boulware,4.5,2004,1498,Florida State,OLB,74,225,0,0,0,4.5,0,0,0,3.96,6.91,0
Jon Bradley,0.75,2004,1321,Arkansas State,DT,73,306,0,0,0,5.09,19,26.5,104,4.85,7.88,0
Rufus Brown,0,2004,1496,Florida State,CB,69,187,0,0,0,4.43,15,33,124,4.44,7.24,0
Tony Bua,1,2004,6056,Arkansas,SS,71,209,0,0,0,4.67,15,36,120,4.1,6.76,0
Vernon Carey,6.375,2004,1320,Miami,OG,77,335,0,0,0,5.32,30,0,0,0,0,0
Ahmad Carroll,2.8,2004,1494,Arkansas,CB,70,195,0,0,0,4.34,15,41,128,0,0,0
Jordan Carstens,3,2004,1319,Iowa State,DT,78,305,0,0,0,5,28,28.5,106,4.8,8.35,0
Kirk Chambers,1.333333333,2004,1493,Stanford,OT,79,313,0,0,0,5.44,22,27,101,4.51,7.58,0
Brandon Chillar,3.714285714,2004,1491,UCLA,OLB,75,253,0,0,0,4.71,23,33,115,4.09,0,0
Adrien Clarke,4,2004,1315,Ohio State,OG,77,329,0,0,0,5.52,0,26,102,4.79,7.93,0
Michael Clayton,3,2004,1313,Louisiana State,WR,75,209,0,0,0,4.67,0,32.5,116,4.15,6.79,0
Cedric Cobbs,0,2004,1312,Arkansas,RB,73,223,0,0,0,4.75,0,40,123,0,0,0
Ricardo Colclough,0.333333333,2004,1490,Tusculum,CB,71,194,0,0,0,4.49,8,39.5,127,0,0,0
Erik Coleman,4.222222222,2004,1489,Washington State,FS,71,200,0,0,0,4.64,16,35.5,117,4.14,7.05,0
Marquis Cooper,0.6,2004,1487,Washington,OLB,75,223,0,0,0,4.55,25,36.5,121,4.14,7.02,0
Jerricho Cotchery,5.25,2004,1309,North Carolina State,WR,73,212,0,0,0,4.54,0,36,121,3.92,6.95,0
Trey Darilek,0.5,2004,1308,Texas-El Paso,OG,76,301,0,0,0,5.23,22,28.5,110,4.66,7.85,0
Curtis DeLoatch,1.75,2004,1483,North Carolina A&T,CB,75,214,0,0,0,4.5,10,35.5,120,4.42,6.97,0
Darnell Dockett,8.9,2004,1305,Florida State,DT,76,297,0,0,0,5,26,31,105,0,0,0
Nat Dorsey,1.5,2004,1482,Georgia Tech,OT,79,322,0,0,0,5.46,26,28.5,102,4.89,8.3,0
Jeff Dugan,0.285714286,2004,1481,Maryland,TE,77,263,0,0,0,5,21,28,109,4.4,7.43,0
Glenn Earl,3,2004,6066,Notre Dame,SS,73,222,0,0,0,4.65,20,0,0,0,0,0
Dwan Edwards,3.545454545,2004,1303,Oregon State,DT,75,313,0,0,0,5.12,25,28,105,4.68,7.59,0
Lee Evans,7,2004,1302,Wisconsin,WR,71,197,0,0,0,4.39,0,34.5,120,0,0,0
Troy Fleming,1.5,2004,1300,Tennessee,FB,73,230,0,0,0,4.62,0,32,120,3.95,6.94,0
Ryan Fowler,2.333333333,2004,1479,Duke,ILB,75,250,0,0,0,4.8,35,37.5,118,4.19,7.2,0
Keyaron Fox,1.555555556,2004,1478,Georgia Tech,OLB,75,227,0,0,0,4.65,28,0,0,0,0,0
Carlos Francis,0,2004,1299,Texas Tech,WR,69,198,0,0,0,4.33,0,38.5,114,4.06,6.98,0
Michael Gaines,1.166666667,2004,1477,Central Florida,TE,74,275,0,0,0,5.06,18,33,109,4.2,7.46,0
Robert Gallery,5.5,2004,1476,Iowa,OT,79,323,0,0,0,4.98,24,30,105,4.39,7.43,0
Rich Gardner,0.666666667,2004,1473,Penn State,CB,71,199,0,0,0,4.46,11,36.5,123,3.91,6.91,0
Robert Geathers,5,2004,1472,Georgia,DE,75,271,0,0,0,4.84,24,33.5,112,0,0,0
Ronnie Ghent,0,2004,1471,Louisville,TE,75,248,0,0,0,5.02,11,27.5,103,4.55,7.47,0
Roderick Green,1.2,2004,1469,Central Missouri,DE,74,245,0,0,0,4.7,21,34.5,129,4.04,7.26,0
Jabari Greer,3.6,2004,1470,Tennessee,CB,70,178,0,0,0,4.5,7,36.5,126,0,0,0
Jake Grove,3.666666667,2004,1297,Virginia Tech,C,76,303,0,0,0,5.16,31,0,0,0,0,0
D.J. Hackett,3.75,2004,1296,Colorado,WR,75,199,0,0,0,4.53,0,41,131,4.1,6.8,0
Rex Hadnot,4.555555556,2004,1295,Houston,C,74,323,0,0,0,5.5,27,24.5,91,4.76,7.97,0
DeAngelo Hall,6.076923077,2004,1468,Virginia Tech,CB,70,202,0,0,0,4.34,0,0,0,0,0,0
Nick Hardwick,7.545454545,2004,1293,Purdue,C,76,295,0,0,0,5.2,27,34,108,4.64,7.84,0
Tommie Harris,7.625,2004,1292,Oklahoma,DT,75,295,0,0,0,4.68,29,0,0,0,0,0
Ben Hartsock,0.2,2004,1467,Ohio State,TE,76,263,0,0,0,4.8,23,35,117,4.03,7.11,0
Marquise Hill,0,2004,1466,Louisiana State,DE,79,305,0,0,0,4.9,23,29,106,0,0,0
T.J. Hollowell,0,2004,1465,Nebraska,OLB,73,235,0,0,0,4.64,0,33.5,117,4.09,7.16,0
Von Hutchins,1.75,2004,1463,Mississippi,CB,70,185,0,0,0,4.46,11,34.5,115,4.06,7.05,0
Leon Joe,1,2004,1461,Maryland,OLB,73,230,0,0,0,4.49,30,39,0,0,0,0
Spencer Johnson,2.666666667,2004,1285,Auburn,DT,75,286,0,0,0,5.06,19,30,111,4.53,7.78,0
Tank Johnson,3.285714286,2004,1284,Washington,DT,75,304,0,0,0,4.69,31,34,114,4.6,7.56,0
Adrian Jones,2.6,2004,1458,Kansas,OT,76,296,0,0,0,4.97,27,31,114,4.6,7.81,0
Kevin Jones,5.8,2004,1281,Virginia Tech,RB,72,227,0,0,0,4.38,0,38,0,0,0,0
Mike Karney,0.285714286,2004,1279,Arizona State,FB,73,254,0,0,0,5.02,25,30,103,0,0,0
Tommy Kelly,5.454545455,2004,1455,Mississippi State,DE,78,294,0,0,0,4.87,24,25,105,4.45,7.79,0
Niko Koutouvides,1.111111111,2004,1454,Purdue,ILB,75,244,0,0,0,4.71,0,30.5,108,3.89,6.99,0
Craig Krenzel,1,2004,1276,Ohio State,QB,76,228,0,0,38,4.84,0,28,112,4.15,7.23,0
Travis Laboy,3.428571429,2004,1453,Hawaii,DE,75,263,0,0,0,4.69,35,35.5,126,4.07,7.01,0
Nate Lawrie,0,2004,6076,Yale,TE,78,264,0,0,0,4.87,23,34,117,4.12,6.71,0
Nick Leckey,2.5,2004,1274,Kansas State,C,75,290,0,0,0,5.26,18,27,97,4.53,7.72,0
Teddy Lehman,1.8,2004,1450,Oklahoma,OLB,74,240,0,0,0,4.55,26,34.5,113,4.06,6.95,0
Brad Lekkerkerker,0,2004,1449,Cal Davis,OT,79,317,0,0,0,5.36,23,27.5,102,4.73,7.95,0
Jeremy LeSueur,0,2004,1448,Michigan,CB,73,197,0,0,0,4.53,0,35,116,0,0,0
