"year","player","url","position","college","weight"
"2000","Trung Canidate","/players/C/CaniTr00.htm","RB","Arizona","193"
"2000","Plaxico Burress","/players/B/BurrPl00.htm","WR","Michigan State","231"
"2000","Marc Bulger","/players/B/BulgMa00.htm","QB","West Virginia","208"
"2000","Travis Brown","/players/B/BrowTr01.htm","QB","Northern Arizona","218"
"2000","Tom Brady","/players/B/BradTo00.htm","QB","Michigan","211"
"2000","Brad Bedell","/players/B/BedeBr20.htm","OG","Colorado","302"
"2000","Shaun Alexander","/players/A/AlexSh00.htm","RB","Alabama","218"
"2000","Destry Wright","","RB","Jackson State","216"
"2000","Boo Williams","","RB","South Carolina","222"
"2000","Anthony White","","RB","Kentucky","195"
"2000","Andy Vincent","","OG","Texas A&M","306"
"2000","Ryan Tujague","","OG","Washington State","297"
"2000","Mac Tuiaea","","DT","Washington","296"
"2000","Quinton Spotwood","","WR","Syracuse","184"
"2000","Rashon Spikes","","RB","North Carolina State","204"
"2000","Keith Smith","","RB","Arizona","207"
"2000","Kofi Shuck","","WR","Wyoming","180"
"2000","Ketric Sanford","","RB","Houston","199"
"2000","John Saint Clair","","C","Virginia","302"
"2000","Phillip Rogers","","RB","Georgia Tech","232"
"2000","Roger Roesler","","OG","Texas","314"
"2000","Rob Riti","","C","Missouri","293"
"2000","Terrance Beadles","","OG","Arkansas-Pine Bluff","312"
"2000","Carl Bradley","","DT","Virginia Tech","300"
"2000","Robert Brannon","","DT","Iowa State","309"
"2000","Demario Brown","","RB","Utah State","217"
"2000","Keith Brown","","RB","UCLA","216"
"2000","Bill Burke","","QB","Michigan State","206"
"2000","Chris Chaloupka","","QB","Sam Houston State","216"
"2000","Chrys Chukwuma","","RB","Arkansas","232"
"2000","D.J. Cooper","","DT","Arkansas","277"
"2000","Brandon Daniels","","WR","Oklahoma","211"
"2000","Chris Daniels","","WR","Purdue","217"
"2000","Adam Davis","","OG","Oklahoma State","309"
"2000","Darren Davis","","RB","Iowa State","189"
"2000","Mike Derouselle","","DT","Houston","314"
"2000","Matt Farmer","","WR","Air Force","190"
"2000","Kevin Feterik","","QB","BYU","207"
"2000","Chafie Fields","","WR","Penn State","196"
"2000","Derrick Foster","","RB","Texas A&M-Kingsville","201"
"2000","Dante' Hall","","RB","Texas A&M","191"
"2000","Ricky Hall","","WR","Virginia Tech","206"
"2000","Joey Hamilton","","WR","Jacksonville State","201"
