"year","team","player","position","base_salary","signing_bonus","roster_bonus","option_bonus","workout_bonus","restructured_bonus","dead_cap","cap_hit","cap_percentage"
"1995","DAL","Deion Sanders","CB","178000","1700000","0","0","0","0","0","1878000","15.36"
"1995","DAL","Russell Maryland","DT","1100000","720000","0","0","0","0","0","1820000","14.88"
"1995","DAL","Darren Woodson","S","408000","100000","0","0","0","0","0","668500","5.47"
"1995","DEN","John Elway","QB","3000000","1500000","0","0","0","0","0","4500000","42.39"
"1995","DEN","Anthony Miller","WR","1700000","600000","0","0","0","0","0","2300000","21.66"
"1995","DEN","Mike Pritchard","WR","1000000","500000","0","0","0","0","0","1500000","14.13"
"1995","DEN","Shannon Sharpe","TE","1100000","100000","0","0","0","0","0","1300000","12.24"
"1995","DEN","Ronnie Bradford","CB","240000","0","0","0","0","0","0","240000","2.26"
"1995","DEN","Terrell Davis","RB","119000","12666","0","0","0","0","0","131666","1.24"
"1995","DEN","Rod Smith","WR","120000","5000","0","0","0","0","0","125000","1.18"
"1995","DET","Barry Sanders","RB","2533000","0","400000","0","0","0","0","2933000","66.19"
"1995","DET","Herman Moore","WR","400000","800000","0","0","0","0","0","1498000","33.81"
"1995","GNB","Brett Favre","QB","2900000","515000","0","0","0","0","0","3415000","93.36"
"1995","GNB","Antonio Freeman","WR","120000","93000","0","0","0","0","0","243000","6.64"
"1995","IND","Tony Bennett","LB","2000000","750000","0","0","0","0","0","2750000","54.26"
"1995","IND","Marshall Faulk","RB","1232500","728571","0","0","0","0","0","1961071","38.69"
"1995","IND","Ken Dilger","TE","200000","157000","0","0","0","0","0","357000","7.04"
"1995","JAX","Steve Beuerlein","QB","1750000","0","0","0","0","0","0","1750000","59.7"
"1995","JAX","Derek Brown","TE","525000","37500","0","0","0","0","0","562500","19.19"
"1995","JAX","Ernest Givins","WR","300000","200000","0","0","0","0","0","500000","17.06"
"1995","JAX","Rob Johnson","QB","119000","0","0","0","0","0","0","119000","4.06"
"1995","KAN","Marcus Allen","RB","1000000","83333","0","0","0","0","0","1133333","100.0"
"1995","MIA","Dan Marino","QB","3900000","583333","0","0","0","0","0","4483333","46.09"
"1995","MIA","Richmond Webb","T","550000","375000","0","700000","0","0","0","1625000","16.7"
"1995","MIA","JB Brown","CB","1113353","325000","0","0","25000","0","0","1463353","15.04"
"1995","MIA","Eric Green","TE","450000","583333","0","0","50000","0","0","1083333","11.14"
"1995","MIA","Chris Singleton","LB","178000","280000","212000","0","25000","0","0","695000","7.14"
"1995","MIA","Randal Hill","WR","378000","0","0","0","0","0","0","378000","3.89"
"1995","MIN","Cris Carter","WR","1355000","1105000","0","0","0","0","0","3160000","75.35"
"1995","MIN","Qadry Ismail","WR","238937","109375","50000","0","0","0","0","418312","9.97"
