"Rk","Player","URL","Year","Age","Draft","Tm","Lg","G","GS","Yrs","PB","AP1","AV"
"7160","Bob Whitfield","/players/W/WhitBo23.htm","1993","22","1-8abc","ATL","NFL","16","16","1","0","0","7"
"7161","C.L. Whittington","/players/W/WhitC.20.htm","1976","24","Noneabc","HOU","NFL","14","13","1","0","0","7"
"7162","Mike Whitwell","/players/W/WhitMi23.htm","1983","25","6-162abc","CLE","NFL","16","16","1","0","0","7"
"7163","Doug Widell","/players/W/WideDo20.htm","1992","26","2-41abc","DEN","NFL","16","16","1","0","0","7"
"7164","Mike Wilcher","/players/W/WilcMi20.htm","1989","29","2-36abc","RAM","NFL","16","16","1","0","0","7"
"7165","James Wilder","/players/W/WildJa00.htm","1986","28","2-34abc","TAM","NFL","12","12","1","0","0","7"
"7166","James Wilder","/players/W/WildJa00.htm","1981","23","2-34abc","TAM","NFL","16","16","1","0","0","7"
"7167","Bruce Wilkerson","/players/W/WilkBr20.htm","1988","24","2-52abc","RAI","NFL","16","16","1","0","0","7"
"7168","Bruce Wilkerson","/players/W/WilkBr20.htm","1991","27","2-52abc","RAI","NFL","16","16","1","0","0","7"
"7169","Bruce Wilkerson","/players/W/WilkBr20.htm","1993","29","2-52abc","RAI","NFL","14","14","1","0","0","7"
"7170","Doug Wilkerson","/players/W/WilkDo00.htm","1977","30","1-14abc","SDG","NFL","14","14","1","0","0","7"
"7171","Doug Wilkerson","/players/W/WilkDo00.htm","1978","31","1-14abc","SDG","NFL","16","16","1","0","0","7"
"7172","Doug Wilkerson","/players/W/WilkDo00.htm","1976","29","1-14abc","SDG","NFL","14","14","1","0","0","7"
"7173","Reggie Wilkes","/players/W/WilkRe20.htm","1979","23","3-66abc","PHI","NFL","16","16","1","0","0","7"
"7174","Reggie Wilkes","/players/W/WilkRe20.htm","1978","22","3-66abc","PHI","NFL","16","12","1","0","0","7"
"7175","Reggie Wilkes","/players/W/WilkRe20.htm","1984","28","3-66abc","PHI","NFL","14","14","1","0","0","7"
"7176","Jim Wilks","/players/W/WilkJi21.htm","1986","28","12-305abc","NOR","NFL","16","15","1","0","0","7"
"7177","Jim Wilks","/players/W/WilkJi21.htm","1984","26","12-305abc","NOR","NFL","16","16","1","0","0","7"
"7178","Jim Wilks","/players/W/WilkJi21.htm","1982","24","12-305abc","NOR","NFL","8","8","1","0","0","7"
"7179","Jim Wilks","/players/W/WilkJi21.htm","1987","29","12-305abc","NOR","NFL","12","12","1","0","0","7"
"7180","Jim Wilks","/players/W/WilkJi21.htm","1989","31","12-305abc","NOR","NFL","16","15","1","0","0","7"
"7181","Aeneas Williams","/players/W/WillAe00.htm","1993","25","3-59abc","PHO","NFL","16","16","1","0","0","7"
"7182","Aeneas Williams","/players/W/WillAe00.htm","1991","23","3-59abc","PHO","NFL","16","15","1","0","0","7"
"7183","Alfred Williams","/players/W/WillAl00.htm","1994","26","1-18abc","CIN","NFL","16","16","1","0","0","7"
"7184","Alfred Williams","/players/W/WillAl00.htm","1993","25","1-18abc","CIN","NFL","16","16","1","0","0","7"
"7185","Ben Williams","/players/W/WillBe00.htm","1979","25","3-78abc","BUF","NFL","16","15","1","0","0","7"
"7186","Brent Williams","/players/W/WillBr20.htm","1989","25","7-192abc","NWE","NFL","16","16","1","0","0","7"
"7187","Calvin Williams","/players/W/WillCa00.htm","1992","25","5-133abc","PHI","NFL","16","15","1","0","0","7"
"7188","Calvin Williams","/players/W/WillCa00.htm","1994","27","5-133abc","PHI","NFL","16","14","1","0","0","7"
"7189","Darryl Williams","/players/W/WillDa03.htm","1994","24","1-28abc","CIN","NFL","16","16","1","0","0","7"
"7190","Darryl Williams","/players/W/WillDa03.htm","1993","23","1-28abc","CIN","NFL","16","16","1","0","0","7"
"7191","Dave Williams","/players/W/WillDa01.htm","1979","25","7-208abc","CHI","NFL","14","12","1","0","0","7"
"7192","David Williams","/players/W/WillDa23.htm","1993","27","1-23abc","HOU","NFL","15","15","1","0","0","7"
"7193","Dokie Williams","/players/W/WillDo00.htm","1986","26","5-138abc","RAI","NFL","15","15","1","0","0","7"
"7194","Doug Williams","/players/W/WillDo01.htm","1979","24","1-17abc","TAM","NFL","16","16","1","0","0","7"
"7195","Eric Williams","/players/W/WillEr23.htm","1985","25","6-164abc","PIT","NFL","14","14","1","0","0","7"
"7196","Eric Williams","/players/W/WillEr21.htm","1988","26","3-62abc","DET","NFL","16","16","1","0","0","7"
"7197","Eric Williams","/players/W/WillEr22.htm","1980","25","8-216abc","STL","NFL","12","12","1","0","0","7"
"7198","Eric Williams","/players/W/WillEr21.htm","1989","27","3-62abc","DET","NFL","16","16","1","0","0","7"
"7199","Gene Williams","/players/W/WillGe20.htm","1993","25","5-121abc","CLE","NFL","16","14","1","0","0","7"
"7200","Gerald Williams","/players/W/WillGe22.htm","1994","31","2-36abc","PIT","NFL","11","11","1","0","0","7"
"7201","James Williams","/players/W/WillJa03.htm","1994","26","Noneabc","CHI","NFL","16","15","1","0","0","7"
"7202","Jimmy Williams","/players/W/WillJi21.htm","1992","32","1-15abc","TAM","NFL","16","16","1","0","0","7"
"7203","Jimmy Williams","/players/W/WillJi21.htm","1985","25","1-15abc","DET","NFL","16","16","1","0","0","7"
"7204","Joel Williams","/players/W/WillJo24.htm","1983","27","Noneabc","PHI","NFL","16","16","1","0","0","7"
"7205","Joel Williams","/players/W/WillJo24.htm","1988","32","Noneabc","ATL","NFL","14","12","1","0","0","7"
"7206","John Williams","/players/W/WillJo26.htm","1975","30","1-23abc","RAM","NFL","14","14","1","0","0","7"
"7207","John Williams","/players/W/WillJo26.htm","1974","29","1-23abc","RAM","NFL","14","14","1","0","0","7"
"7208","John Williams","/players/W/WillJo00.htm","1993","29","1-15abc","SEA","NFL","16","9","1","0","0","7"
"7209","Larry Williams","/players/W/WillLa21.htm","1988","25","10-259abc","CLE","NFL","14","14","1","0","0","7"
"7210","Larry Williams","/players/W/WillLa21.htm","1986","23","10-259abc","CLE","NFL","16","11","1","0","0","7"
"7211","Lee Williams","/players/W/WillLe01.htm","1987","25","1-6abc","SDG","NFL","12","12","1","0","0","7"
"7212","Lee Williams","/players/W/WillLe01.htm","1986","24","1-6abc","SDG","NFL","16","16","1","0","0","7"
"7213","Perry Williams","/players/W/WillPe20.htm","1984","23","7-178abc","NYG","NFL","16","16","1","0","0","7"
"7214","Reggie Williams","/players/W/WillRe20.htm","1978","24","3-82abc","CIN","NFL","16","15","1","0","0","7"
"7215","Reggie Williams","/players/W/WillRe20.htm","1980","26","3-82abc","CIN","NFL","14","13","1","0","0","7"
"7216","Sweeny Williams","/players/W/WillSw20.htm","1975","29","11-283abc","GNB","NFL","14","14","1","0","0","7"
"7217","Sweeny Williams","/players/W/WillSw20.htm","1974","28","11-283abc","GNB","NFL","14","14","1","0","0","7"
"7218","Toby Williams","/players/W/WillTo20.htm","1986","27","10-265abc","NWE","NFL","16","16","1","0","0","7"
"7219","Toby Williams","/players/W/WillTo20.htm","1984","25","10-265abc","NWE","NFL","16","15","1","0","0","7"
"7220","Carlton Williamson","/players/W/WillCa01.htm","1981","23","3-65abc","SFO","NFL","16","16","1","0","0","7"
"7221","Fred Willis","/players/W/WillFr00.htm","1973","26","4-93abc","HOU","NFL","14","14","1","0","0","7"
"7222","Keith Willis","/players/W/WillKe26.htm","1985","26","Noneabc","PIT","NFL","16","16","1","0","0","7"
"7223","Bernard Wilson","/players/W/WilsBe20.htm","1994","24","Noneabc","2TM","NFL","14","12","1","0","0","7"
"7224","Marc Wilson","/players/W/WilsMa00.htm","1984","27","1-15abc","RAI","NFL","16","10","1","0","0","7"
"7225","Mike Wilson","/players/W/WilsMi23.htm","1979","24","4-103abc","CIN","NFL","16","16","1","0","0","7"
"7226","Steve Wilson","/players/W/WilsSt22.htm","1981","27","5-154abc","TAM","NFL","15","15","1","0","0","7"
"7227","Steve Wilson","/players/W/WilsSt22.htm","1984","30","5-154abc","TAM","NFL","16","13","1","0","0","7"
"7228","Wade Wilson","/players/W/WilsWa00.htm","1992","33","8-210abc","ATL","NFL","9","3","1","0","0","7"
"7229","Wayne Wilson","/players/W/WilsWa02.htm","1983","26","12-324abc","NOR","NFL","14","8","1","0","0","7"
"7230","Wayne Wilson","/players/W/WilsWa02.htm","1982","25","12-324abc","NOR","NFL","8","7","1","0","0","7"
"7231","Rich Wingo","/players/W/WingRi20.htm","1981","25","7-184abc","GNB","NFL","16","16","1","0","0","7"
"7232","Dirt Winston","/players/W/WinsDi20.htm","1979","24","5-132abc","PIT","NFL","16","10","1","0","0","7"
"7233","Blaise Winter","/players/W/WintBl20.htm","1993","31","2-35abc","SDG","NFL","16","16","1","0","0","7"
"7234","Blaise Winter","/players/W/WintBl20.htm","1992","30","2-35abc","SDG","NFL","16","15","1","0","0","7"
"7235","Mike Wise","/players/W/WiseMi20.htm","1988","24","4-85abc","RAI","NFL","16","14","1","0","0","7"
"7236","Steve Wisniewski","/players/W/WisnSt00.htm","1989","22","2-29abc","RAI","NFL","15","15","1","0","0","7"
