year,id,name,position_id,av_value
1994,1991167,"Corey Miller",OLB,7
1994,19872,"Cornelius Bennett",OLB,7
1994,1989186,"David Griggs",OLB,7
1994,199137,"Dixon Edwards",OLB,7
1994,1992254,"Elijah Alexander",OLB,7
1994,198847,"Fred Strickland",ILB,7
1994,1993181,"Greg Biekert",ILB,7
1994,199012,"James Francis",OLB,7
1994,1988243,"Jeff Herrod",ILB,7
1994,198611,"Joe Kelly",OLB,7
1994,199347,"Micheal Barrow",OLB,7
1994,00001256,"Mike Johnson",OLB,7
1994,19922,"Quentin Coryatt",OLB,7
1994,00001283,"Rufus Porter",OLB,7
1994,00001242,"Sam Mills",ILB,7
1994,19878,"Shane Conlan",ILB,7
1994,00001253,"Tracy Simien",ILB,7
1994,198915,"Andy Heck",T,7
1994,19918,"Antone Davis",T,7
1994,1989288,"Bert Weidner",G,7
1994,199172,"Bob Dahl",G,7
1994,00001781,"Broderick Thompson",T,7
1994,1984231,"Bruce Kozerski",T,7
1994,19839,"Bruce Matthews",G,7
1994,1991111,"Clarence Jones",T,7
1994,198898,"David Richards",T,7
1994,198326,"Don Mosebar",C,7
1994,1987168,"Doug Riesenberg",T,7
1994,1990167,"Dwayne White",G,7
1994,1987164,"Ed Simmons",T,7
1994,1987283,"Howard Ballard",T,7
1994,1990114,"Ian Beckles",G,7
1994,00001761,"James Williams",T,7
1994,1993197,"Jeff Blackshear",G,7
1994,1989121,"Jeff Uhlenhake",C,7
1994,198437,"Jim Sweeney",C,7
1994,199364,"Joe Cocozzo",G,7
1994,1988252,"John Jackson",T,7
1994,198836,"Jumbo Elliott",T,7
1994,199211,"Leon Searcy",T,7
1994,00001834,"Mike Kenn",T,7
1994,19884,"Paul Gruber",T,7
1994,1985290,"Raleigh McKenzie",G,7
1994,198785,"Randy Dixon",G,7
1994,1986201,"Ray Brown",G,7
1994,198032,"Ray Donaldson",C,7
1994,00001808,"Richard Cooper",T,7
1994,1988233,"Scott Dill",T,7
1994,199314,"Steve Everitt",C,7
1994,1990108,"Tony Mayberry",C,7
1994,198427,"William Roberts",G,7
1994,1992166,"Jeff Blake",QB,7
1994,198726,"Jim Harbaugh",QB,7
1994,19932,"Rick Mirer",QB,7
1994,00002393,"Steve Walsh",QB,7
1994,199491,"Bam Morris",RB,7
1994,1993109,"Derek Brown",RB,7
1994,199434,"Errict Rhett",RB,7
1994,198993,"Lewis Tillman",RB,7
1994,198210,"Marcus Allen",RB,7
1994,199176,"Ricky Ervins",RB,7
1994,198616,"Ronnie Harmon",RB,7
1994,1990241,"Terry Allen",RB,7
1994,198813,"Keith Jackson",TE,7
1994,1990133,"Calvin Williams",WR,7
1994,199097,"Chris Calloway",WR,7
