"year","player","url","position","college","height","weight","dash","vert_leap","bench","broad","cone","shuttle"
"2000","Deon Dyer","/players/D/DyerDe00.htm","FB","North Carolina","71","260","4.99","28.0","0","104","7.88","4.81"
"2000","Ron Dugans","/players/D/DugaRo00.htm","WR","Florida State","73","206","4.58","0","0","117","0","0"
"2000","Reuben Droughns","/players/D/DrouRe00.htm","RB","Oregon","71","215","4.66","30.0","13","115","7.34","4.41"
"2000","Muneer Moore","","WR","Richmond","73","201","4.52","37.5","0","129","6.91","4.09"
"2000","Jerry DeLoach","/players/D/DeLoJe20.htm","DT","California","75","314","4.99","31.5","19","101","7.40","4.57"
"2000","Ron Dayne","/players/D/DaynRo00.htm","RB","Wisconsin","71","259","4.65","0","0","0","0","0"
"2000","JaJuan Dawson","/players/D/DawsJa00.htm","WR","Tulane","73","199","4.55","34.0","0","117","6.96","4.16"
"2000","Chris Combs","/players/C/CombCh21.htm","DT","Duke","77","286","5.16","0","22","0","0","0"
"2000","Laveranues Coles","/players/C/ColeLa00.htm","WR","Florida State","71","192","4.41","34.0","0","115","6.89","4.39"
"2000","Cosey Coleman","/players/C/ColeCo21.htm","OG","Tennessee","76","322","5.40","28.0","0","101","8.15","4.97"
"2000","Chris Coleman","/players/C/ColeCh01.htm","WR","North Carolina State","72","211","4.61","32.5","0","110","6.79","4.10"
"2000","Chris Cole","/players/C/ColeCh00.htm","WR","Texas A&M","72","191","4.37","37.5","0","125","6.76","4.09"
"2000","Matt Johnson","","OG","BYU","76","345","5.56","28.0","35","99","8.07","4.99"
"2000","Manuia Savea","","OG","Arizona","74","308","5.34","25.0","24","92","0","0"
"2000","Travis Claridge","/players/C/ClarTr20.htm","OG","Southern California","77","303","5.15","31.5","29","100","7.77","4.86"
"2000","Kendrick Clancy","/players/C/ClanKe20.htm","DT","Mississippi","73","283","5.25","27.5","25","108","7.98","4.65"
"2000","Doug Chapman","/players/C/ChapDo00.htm","RB","Marshall","70","215","4.56","38.5","16","128","6.84","4.20"
"2000","Kwame Cavil","/players/C/CaviKw00.htm","WR","Texas","74","208","4.54","39.5","0","118","0","0"
"2000","Cooper Carlisle","/players/C/CarlCo20.htm","OG","Florida","77","297","5.16","31.0","28","100","7.82","4.48"
"2000","Trung Canidate","/players/C/CaniTr00.htm","RB","Arizona","71","193","4.41","0","18","0","0","0"
"2000","Plaxico Burress","/players/B/BurrPl00.htm","WR","Michigan State","77","231","4.59","33.0","0","115","0","0"
"2000","Marc Bulger","/players/B/BulgMa00.htm","QB","West Virginia","74","208","4.97","0","0","100","7.46","4.34"
"2000","Travis Brown","/players/B/BrowTr01.htm","QB","Northern Arizona","75","218","5.01","29.0","0","101","7.54","4.87"
"2000","Tom Brady","/players/B/BradTo00.htm","QB","Michigan","76","211","5.28","24.5","0","99","7.20","4.38"
"2000","Brad Bedell","/players/B/BedeBr20.htm","OG","Colorado","76","302","5.07","31.5","17","103","7.76","4.58"
"2000","Shaun Alexander","/players/A/AlexSh00.htm","RB","Alabama","72","218","4.58","0","0","0","0","0"
"2000","Destry Wright","","RB","Jackson State","71","216","4.84","29.5","15","112","7.15","4.41"
"2000","Boo Williams","","RB","South Carolina","71","222","4.52","0","0","0","0","0"
"2000","Anthony White","","RB","Kentucky","72","195","4.68","32.5","0","118","7.05","4.24"
"2000","Andy Vincent","","OG","Texas A&M","76","306","5.20","28.5","14","108","7.54","4.42"
"2000","Ryan Tujague","","OG","Washington State","77","297","5.16","27.0","21","96","8.18","4.95"
"2000","Mac Tuiaea","","DT","Washington","78","296","5.09","29.0","25","99","7.82","4.72"
"2000","Quinton Spotwood","","WR","Syracuse","71","184","4.55","33.5","0","123","0","0"
"2000","Rashon Spikes","","RB","North Carolina State","70","204","4.78","33.0","13","113","7.18","4.47"
"2000","Keith Smith","","RB","Arizona","70","207","4.50","0","0","0","0","0"
"2000","Kofi Shuck","","WR","Wyoming","74","180","4.66","33.0","0","119","7.18","4.10"
"2000","Ketric Sanford","","RB","Houston","67","199","4.60","32.0","12","118","6.63","4.30"
"2000","John Saint Clair","","C","Virginia","77","302","5.20","0","25","0","0","0"
"2000","Phillip Rogers","","RB","Georgia Tech","73","232","4.68","37.0","19","124","7.21","4.31"
"2000","Roger Roesler","","OG","Texas","77","314","5.31","29.5","25","101","8.31","4.76"
"2000","Rob Riti","","C","Missouri","74","293","5.19","29.5","17","106","0","0"
"2000","Terrance Beadles","","OG","Arkansas-Pine Bluff","75","312","5.19","0","29","0","0","0"
"2000","Carl Bradley","","DT","Virginia Tech","74","300","5.03","0","0","0","0","0"
"2000","Robert Brannon","","DT","Iowa State","76","309","5.19","28.5","28","99","7.82","4.70"
"2000","Demario Brown","","RB","Utah State","72","217","4.72","31.0","0","107","7.17","4.39"
"2000","Keith Brown","","RB","UCLA","71","216","4.66","30.0","0","117","6.64","4.08"
