year,team_id,wins,losses,ties,pf,pa,pd,wc,d,c,sl,sw
1987,TEN,9,6,0,345,349,-4,1,1,0,0,0
1987,NYJ,6,9,0,334,360,-26,0,0,0,0,0
1987,PHI,7,8,0,337,380,-43,0,0,0,0,0
1987,LAR,6,9,0,317,361,-44,0,0,0,0,0
1987,GNB,5,9,1,255,300,-45,0,0,0,0,0
1987,DAL,7,8,0,340,348,-8,0,0,0,0,0
1987,NYG,6,9,0,280,312,-32,0,0,0,0,0
1987,SEA,9,6,0,371,314,57,1,0,0,0,0
1987,CLE,10,5,0,390,239,151,1,1,1,0,0
1987,NWE,8,7,0,320,293,27,0,0,0,0,0
1987,KAN,4,11,0,273,388,-115,0,0,0,0,0
1987,ARI,7,8,0,362,368,-6,0,0,0,0,0
1987,DEN,10,4,1,379,288,91,1,1,1,1,0
1987,WAS,11,4,0,379,285,94,1,1,1,1,1
1987,DET,4,11,0,269,384,-115,0,0,0,0,0
1987,SFO,13,2,0,459,253,206,1,1,0,0,0
1987,MIA,8,7,0,362,335,27,0,0,0,0,0
1987,CIN,4,11,0,285,370,-85,0,0,0,0,0
1987,NOR,12,3,0,422,283,139,1,0,0,0,0
1987,TAM,4,11,0,286,360,-74,0,0,0,0,0
1988,BUF,12,4,0,329,237,92,1,1,1,0,0
1988,CHI,12,4,0,312,215,97,1,1,1,0,0
1988,MIN,11,5,0,406,233,173,1,1,0,0,0
1988,PIT,5,11,0,336,421,-85,0,0,0,0,0
1988,LAC,6,10,0,231,332,-101,0,0,0,0,0
1988,ATL,5,11,0,244,315,-71,0,0,0,0,0
1988,IND,9,7,0,354,315,39,0,0,0,0,0
1988,ARI,7,9,0,344,398,-54,0,0,0,0,0
1988,OAK,7,9,0,325,369,-44,0,0,0,0,0
1988,TEN,10,6,0,424,365,59,1,1,0,0,0
1988,NYJ,8,7,1,372,354,18,0,0,0,0,0
1988,PHI,10,6,0,379,319,60,1,1,0,0,0
1988,LAR,10,6,0,407,293,114,1,0,0,0,0
1988,GNB,4,12,0,240,315,-75,0,0,0,0,0
1988,DAL,3,13,0,265,381,-116,0,0,0,0,0
1988,DET,4,12,0,220,313,-93,0,0,0,0,0
1988,SEA,9,7,0,339,329,10,1,1,0,0,0
1988,CLE,10,6,0,304,288,16,1,0,0,0,0
1988,NWE,9,7,0,250,284,-34,0,0,0,0,0
1988,KAN,4,11,1,254,320,-66,0,0,0,0,0
1988,NYG,10,6,0,359,304,55,0,0,0,0,0
1988,DEN,8,8,0,327,352,-25,0,0,0,0,0
1988,WAS,7,9,0,345,387,-42,0,0,0,0,0
1988,SFO,10,6,0,369,294,75,1,1,1,1,1
1988,MIA,6,10,0,319,380,-61,0,0,0,0,0
